ProductId,Visited,RightPupilValidity,RightPupilDiameter,LeftPupilValidity,LeftPupilDiameter,RightGazePointValidity,RightGazePointOnDisplayAreaX,RightGazePointOnDisplayAreaY,RightGazePointInUserCoordinateSystemX,RightGazePointInUserCoordinateSystemY,RightGazePointInUserCoordinateSystemZ,LeftGazePointValidity,LeftGazePointOnDisplayAreaX,LeftGazePointOnDisplayAreaY,LeftGazePointInUserCoordinateSystemX,LeftGazePointInUserCoordinateSystemY,LeftGazePointInUserCoordinateSystemZ,RightGazeOriginValidity,RightGazeOriginInUserCoordinateSystemX,RightGazeOriginInUserCoordinateSystemY,RightGazeOriginInUserCoordinateSystemZ,RightGazeOriginInTrackboxCoordinateSystemX,RightGazeOriginInTrackboxCoordinateSystemY,RightGazeOriginInTrackboxCoordinateSystemZ,LeftGazeOriginValidity,LeftGazeOriginInUserCoordinateSystemX,LeftGazeOriginInUserCoordinateSystemY,LeftGazeOriginInUserCoordinateSystemZ,LeftGazeOriginInTrackboxCoordinateSystemX,LeftGazeOriginInTrackboxCoordinateSystemY,LeftGazeOriginInTrackboxCoordinateSystemZ,SystemTimestamp,DeviceTimestamp
0,0,0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,189616874696,1732953675
0,0,0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,189616883030,1732962008
0,0,0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,189616891365,1732970342
0,0,0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,189616899699,1732978675
0,0,0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,189616908033,1732987008
0,0,0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,189616916368,1732995342
0,0,0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,189616924702,1733003675
0,0,0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,189616933037,1733012009
0,0,0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,189616941371,1733020342
0,0,0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,189616949774,1733028744
0,0,1,3.0457000732421875,1,3.0789337158203125,1,0.49715086817741394,0.45156174898147583,0.14003363251686096,108.08914947509766,28.699481964111328,1,0.5052330493927002,0.48019108176231384,2.927201747894287,102.87055969238281,26.800004959106445,1,41.385311126708984,13.742366790771484,612.4512329101562,0.4097689390182495,0.4749501943588257,0.37170928716659546,1,-22.73467254638672,17.895671844482422,613.332763671875,0.5514596700668335,0.46586379408836365,0.3719106912612915,189616958178,1733037147
0,0,1,3.048614501953125,1,3.06842041015625,1,0.4984453618526459,0.4636165499687195,0.5864454507827759,105.89177703857422,27.89968490600586,1,0.5010756850242615,0.4699702560901642,1.493537187576294,104.73361206054688,27.4781494140625,1,41.256004333496094,13.759191513061523,612.384521484375,0.41004323959350586,0.47490760684013367,0.3715474009513855,1,-22.860992431640625,17.889514923095703,613.33349609375,0.551738440990448,0.4658770263195038,0.37192171812057495,189616966513,1733045481
0,0,1,3.03985595703125,1,3.0787353515625,1,0.4930236339569092,0.44765836000442505,-1.2832585573196411,108.8006820678711,28.958423614501953,1,0.5051291584968567,0.47707581520080566,2.8913819789886475,103.43839263916016,27.006742477416992,1,41.135108947753906,13.784012794494629,612.4207763671875,0.4103163182735443,0.47485634684562683,0.371610552072525,1,-22.98446273803711,17.87896728515625,613.3353271484375,0.5520107746124268,0.46589991450309753,0.37193456292152405,189616974843,1733053814
0,0,1,3.0378265380859375,1,3.0617218017578125,1,0.493291437625885,0.4571860134601593,-1.1909022331237793,107.06394958496094,28.3262939453125,1,0.5047862529754639,0.4811064302921295,2.773134469985962,102.70367431640625,26.73933219909668,1,41.031166076660156,13.815644264221191,612.52783203125,0.41056379675865173,0.4747962951660156,0.37183040380477905,1,-23.10150909423828,17.869674682617188,613.3680419921875,0.5522660613059998,0.4659231901168823,0.37201404571533203,189616983171,1733062150
0,0,1,3.03265380859375,1,3.0810546875,1,0.5027756094932556,0.46820661425590515,2.079758405685425,105.05509185791016,27.59514617919922,1,0.502000629901886,0.48022234439849854,1.8124884366989136,102.8648452758789,26.797964096069336,1,40.904563903808594,13.840354919433594,612.406982421875,0.41082313656806946,0.4747318923473358,0.371552437543869,1,-23.224273681640625,17.859952926635742,613.3590087890625,0.5525379180908203,0.46594318747520447,0.372003436088562,189616991496,1733070483
