LeftGazePointX,LeftGazePointY,LeftGazePointValidity,RightGazePointX,RightGazePointY,RightGazePointValidity,Timestamp
nan,nan,0,nan,nan,0,860385249
nan,nan,0,nan,nan,0,860385249
nan,nan,0,nan,nan,0,860385249
nan,nan,0,nan,nan,0,860385249
nan,nan,0,nan,nan,0,860385249
nan,nan,0,nan,nan,0,860385249
nan,nan,0,nan,nan,0,860385249
nan,nan,0,nan,nan,0,860393582
nan,nan,0,nan,nan,0,860393582
nan,nan,0,nan,nan,0,860393582
nan,nan,0,nan,nan,0,860393582
nan,nan,0,nan,nan,0,860393582
nan,nan,0,nan,nan,0,860393582
nan,nan,0,nan,nan,0,860393582
nan,nan,0,nan,nan,0,860393582
nan,nan,0,nan,nan,0,860393582
nan,nan,0,nan,nan,0,860401916
nan,nan,0,nan,nan,0,860401916
nan,nan,0,nan,nan,0,860401916
nan,nan,0,nan,nan,0,860401916
nan,nan,0,nan,nan,0,860401916
nan,nan,0,nan,nan,0,860401916
nan,nan,0,nan,nan,0,860401916
nan,nan,0,nan,nan,0,860401916
nan,nan,0,nan,nan,0,860401916
nan,nan,0,nan,nan,0,860410249
nan,nan,0,nan,nan,0,860410249
nan,nan,0,nan,nan,0,860410249
nan,nan,0,nan,nan,0,860410249
nan,nan,0,nan,nan,0,860410249
nan,nan,0,nan,nan,0,860410249
nan,nan,0,nan,nan,0,860410249
nan,nan,0,nan,nan,0,860410249
nan,nan,0,nan,nan,0,860410249
nan,nan,0,nan,nan,0,860418583
nan,nan,0,nan,nan,0,860418583
nan,nan,0,nan,nan,0,860418583
nan,nan,0,nan,nan,0,860418583
nan,nan,0,nan,nan,0,860418583
nan,nan,0,nan,nan,0,860418583
nan,nan,0,nan,nan,0,860418583
nan,nan,0,nan,nan,0,860418583
nan,nan,0,nan,nan,0,860418583
nan,nan,0,nan,nan,0,860426916
nan,nan,0,nan,nan,0,860426916
nan,nan,0,nan,nan,0,860426916
nan,nan,0,nan,nan,0,860426916
nan,nan,0,nan,nan,0,860426916
nan,nan,0,nan,nan,0,860426916
nan,nan,0,nan,nan,0,860426916
nan,nan,0,nan,nan,0,860426916
nan,nan,0,nan,nan,0,860426916
nan,nan,0,nan,nan,0,860435249
nan,nan,0,nan,nan,0,860435249
nan,nan,0,nan,nan,0,860435249
nan,nan,0,nan,nan,0,860435249
nan,nan,0,nan,nan,0,860435249
nan,nan,0,nan,nan,0,860435249
nan,nan,0,nan,nan,0,860435249
nan,nan,0,nan,nan,0,860435249
nan,nan,0,nan,nan,0,860435249
nan,nan,0,nan,nan,0,860443582
nan,nan,0,nan,nan,0,860443582
nan,nan,0,nan,nan,0,860443582
nan,nan,0,nan,nan,0,860443582
nan,nan,0,nan,nan,0,860443582
nan,nan,0,nan,nan,0,860443582
nan,nan,0,nan,nan,0,860443582
nan,nan,0,nan,nan,0,860443582
nan,nan,0,nan,nan,0,860443582
nan,nan,0,nan,nan,0,860451916
nan,nan,0,nan,nan,0,860451916
nan,nan,0,nan,nan,0,860451916
nan,nan,0,nan,nan,0,860451916
nan,nan,0,nan,nan,0,860451916
nan,nan,0,nan,nan,0,860451916
nan,nan,0,nan,nan,0,860451916
nan,nan,0,nan,nan,0,860451916
nan,nan,0,nan,nan,0,860451916
nan,nan,0,nan,nan,0,860460249
nan,nan,0,nan,nan,0,860460249
nan,nan,0,nan,nan,0,860460249
nan,nan,0,nan,nan,0,860460249
nan,nan,0,nan,nan,0,860460249
nan,nan,0,nan,nan,0,860460249
nan,nan,0,nan,nan,0,860460249
nan,nan,0,nan,nan,0,860460249
nan,nan,0,nan,nan,0,860460249
nan,nan,0,nan,nan,0,860468583
nan,nan,0,nan,nan,0,860468583
nan,nan,0,nan,nan,0,860468583
nan,nan,0,nan,nan,0,860468583
nan,nan,0,nan,nan,0,860468583
nan,nan,0,nan,nan,0,860468583
nan,nan,0,nan,nan,0,860468583
nan,nan,0,nan,nan,0,860468583
nan,nan,0,nan,nan,0,860468583
nan,nan,0,nan,nan,0,860476917
nan,nan,0,nan,nan,0,860476917
nan,nan,0,nan,nan,0,860476917
nan,nan,0,nan,nan,0,860476917
nan,nan,0,nan,nan,0,860476917
nan,nan,0,nan,nan,0,860476917
nan,nan,0,nan,nan,0,860476917
nan,nan,0,nan,nan,0,860476917
nan,nan,0,nan,nan,0,860476917
nan,nan,0,nan,nan,0,860485252
nan,nan,0,nan,nan,0,860485252
nan,nan,0,nan,nan,0,860485252
nan,nan,0,nan,nan,0,860485252
nan,nan,0,nan,nan,0,860485252
nan,nan,0,nan,nan,0,860485252
nan,nan,0,nan,nan,0,860485252
nan,nan,0,nan,nan,0,860485252
nan,nan,0,nan,nan,0,860485252
nan,nan,0,nan,nan,0,860493585
nan,nan,0,nan,nan,0,860493585
nan,nan,0,nan,nan,0,860493585
nan,nan,0,nan,nan,0,860493585
nan,nan,0,nan,nan,0,860493585
nan,nan,0,nan,nan,0,860493585
nan,nan,0,nan,nan,0,860493585
nan,nan,0,nan,nan,0,860493585
nan,nan,0,nan,nan,0,860493585
nan,nan,0,nan,nan,0,860501919
nan,nan,0,nan,nan,0,860501919
nan,nan,0,nan,nan,0,860501919
nan,nan,0,nan,nan,0,860501919
nan,nan,0,nan,nan,0,860501919
nan,nan,0,nan,nan,0,860501919
nan,nan,0,nan,nan,0,860501919
nan,nan,0,nan,nan,0,860501919
nan,nan,0,nan,nan,0,860501919
nan,nan,0,nan,nan,0,860510252
nan,nan,0,nan,nan,0,860510252
nan,nan,0,nan,nan,0,860510252
nan,nan,0,nan,nan,0,860510252
