RightPupilValidity,RightPupilDiameter,LeftPupilValidity,LeftPupilDiameter,RightGazePointValidity,RightGazePointOnDisplayAreaX,RightGazePointOnDisplayAreaY,RightGazePointInUserCoordinateSystemX,RightGazePointInUserCoordinateSystemY,RightGazePointInUserCoordinateSystemZ,LeftGazePointValidity,LeftGazePointOnDisplayAreaX,LeftGazePointOnDisplayAreaY,LeftGazePointInUserCoordinateSystemX,LeftGazePointInUserCoordinateSystemY,LeftGazePointInUserCoordinateSystemZ,RightGazeOriginValidity,RightGazeOriginInUserCoordinateSystemX,RightGazeOriginInUserCoordinateSystemY,RightGazeOriginInUserCoordinateSystemZ,RightGazeOriginInTrackboxCoordinateSystemX,RightGazeOriginInTrackboxCoordinateSystemY,RightGazeOriginInTrackboxCoordinateSystemZ,LeftGazeOriginValidity,LeftGazeOriginInUserCoordinateSystemX,LeftGazeOriginInUserCoordinateSystemY,LeftGazeOriginInUserCoordinateSystemZ,LeftGazeOriginInTrackboxCoordinateSystemX,LeftGazeOriginInTrackboxCoordinateSystemY,LeftGazeOriginInTrackboxCoordinateSystemZ,SystemTimestamp,DeviceTimestamp
0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,601180913693,2037393658
0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,601180922020,2037401991
0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,601180930348,2037410325
0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,601180938675,2037418658
0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,601180947001,2037426991
0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,601180955328,2037435325
0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,601180963655,2037443658
0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,601180971989,2037451992
0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,601180980323,2037460325
0,nan,0,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,601180988728,2037468730
1,2.3144683837890625,1,2.8997650146484375,1,0.35020801424980164,0.5100660920143127,-50.533851623535156,97.42485046386719,24.817981719970703,1,0.3510954678058624,0.6116884350776672,-50.22780227661133,78.90091705322266,18.075807571411133,1,3.8868939876556396,-21.807628631591797,587.8846435546875,0.4923436641693115,0.5534431338310242,0.31453219056129456,1,-55.354835510253906,-21.83795928955078,588.2808837890625,0.6294882893562317,0.5533173680305481,0.3209521770477295,601180997134,2037477136
1,2.4457855224609375,1,2.908782958984375,1,0.34184616804122925,0.5787174701690674,-53.41747283935547,84.91093444824219,20.2632999420166,1,0.35575345158576965,0.6141563057899475,-48.62147521972656,78.45105743408203,17.912128448486328,1,3.8344295024871826,-21.76856803894043,587.98046875,0.49246686697006226,0.5533500909805298,0.31473812460899353,1,-55.39173889160156,-21.82037925720215,588.1275634765625,0.6296116709709167,0.5532839298248291,0.3206270933151245,601181005468,2037485470
1,2.4228515625,1,2.92205810546875,1,0.34050536155700684,0.5644964575767517,-53.879859924316406,87.50320434570312,21.20672035217285,1,0.35462895035743713,0.6175462603569031,-49.00926208496094,77.83314514160156,17.687179565429688,1,3.8045825958251953,-21.729297637939453,587.9229736328125,0.4925350546836853,0.553263247013092,0.31461116671562195,1,-55.4453125,-21.797136306762695,588.2258911132812,0.6297107934951782,0.553226888179779,0.32084959745407104,601181013803,2037493803
1,2.4326171875,1,2.8744964599609375,1,0.34483686089515686,0.5598994493484497,-52.38611602783203,88.34111022949219,21.511781692504883,1,0.3472095727920532,0.5952610969543457,-51.56788635253906,81.89532470703125,19.165725708007812,1,3.7781665325164795,-21.712554931640625,587.7799072265625,0.492593914270401,0.5532311797142029,0.31429919600486755,1,-55.4837760925293,-21.790855407714844,588.2388916015625,0.6297962665557861,0.5532119870185852,0.3208853006362915,601181022132,2037502129
