ID,Set,ProductId,Visited,Highlighting,AOI,TFF,FPG,SPG,RFX,SFX,ODT
4,21,5,1,1,AoI 1,0,0,0,0,0,0
4,21,4,1,1,AoI 1,0,0,0,0,0,0
4,21,4,1,1,AoI 1,0,0,0,0,0,0
4,21,4,1,1,AoI 2,0,0,0,0,0,0
4,21,4,1,1,AoI 3,0,0,0,0,0,0
4,21,1,1,1,AoI 1,0,0,0,0,0,0
4,21,1,1,1,AoI 1,0,0,0,0,0,0
4,21,1,1,1,AoI 2,0,0,0,0,0,0
4,21,1,1,1,AoI 3,0,0,0,0,0,0
4,21,1,1,1,AoI 1,0,0,0,0,0,0
4,21,3,1,1,AoI 1,0,0,0,0,0,0
4,21,3,1,1,AoI 1,0,0,0,0,0,0
4,21,3,1,1,AoI 2,0,0,0,0,0,0
4,21,3,1,1,AoI 3,0,0,0,0,0,0
4,21,3,1,1,AoI 1,0,0,0,0,0,0
4,21,3,1,1,AoI 1,0,0,0,0,0,0
4,21,2,1,1,AoI 1,0,0,0,0,0,0
4,21,2,1,1,AoI 1,0,0,0,0,0,0
4,21,2,1,1,AoI 2,0,0,0,0,0,0
4,21,2,1,1,AoI 3,0,0,0,0,0,0
4,21,2,1,1,AoI 1,0,0,0,0,0,0
4,21,2,1,1,AoI 1,0,0,0,0,0,0
4,21,2,1,1,AoI 1,0,0,0,0,0,0
4,21,2,1,1,AoI 2,0,0,0,0,0,0
4,21,2,1,1,AoI 3,0,0,0,0,0,0
4,21,5,1,1,AoI 1,0,0,0,0,0,0
4,21,5,1,1,AoI 1,0,0,0,0,0,0
4,21,5,1,1,AoI 2,0,0,0,0,0,0
4,21,5,1,1,AoI 3,0,0,0,0,0,0
4,21,5,1,1,AoI 1,0,0,0,0,0,0
4,21,5,1,1,AoI 1,0,0,0,0,0,0
4,21,5,1,1,AoI 1,0,0,0,0,0,0
4,21,5,1,1,AoI 2,0,0,0,0,0,0
4,21,5,1,1,AoI 3,0,0,0,0,0,0
4,21,5,1,1,AoI 1,0,0,0,0,0,0
4,21,4,1,1,AoI 1,0,0,0,0,0,0
4,21,4,1,1,AoI 1,0,0,0,0,0,0
4,21,4,1,1,AoI 2,0,0,0,0,0,0
4,21,4,1,1,AoI 3,0,0,0,0,0,0
4,21,4,1,1,AoI 1,0,0,0,0,0,0
4,21,4,1,1,AoI 1,0,0,0,0,0,0
4,21,4,1,1,AoI 1,0,0,0,0,0,0
4,21,4,1,1,AoI 2,0,0,0,0,0,0
4,21,4,1,1,AoI 3,0,0,0,0,0,0
4,21,4,1,1,AoI 1,0,0,0,0,0,0
4,21,4,1,1,AoI 1,0,0,0,0,0,0
4,21,4,1,1,AoI 2,0,0,0,0,0,0
4,21,4,1,1,AoI 3,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 2,0,0,0,0,0,0
4,18,5,1,3,AoI 3,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 2,0,0,0,0,0,0
4,18,5,1,3,AoI 3,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 2,0,0,0,0,0,0
4,18,5,1,3,AoI 3,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 2,0,0,0,0,0,0
4,18,5,1,3,AoI 3,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 2,0,0,0,0,0,0
4,18,3,1,3,AoI 3,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 2,0,0,0,0,0,0
4,18,3,1,3,AoI 3,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 2,0,0,0,0,0,0
4,18,3,1,3,AoI 3,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 2,0,0,0,0,0,0
4,18,3,1,3,AoI 3,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 2,0,0,0,0,0,0
4,18,3,1,3,AoI 3,0,0,0,0,0,0
4,18,1,1,3,AoI 1,0,0,0,0,0,0
4,18,1,1,3,AoI 1,0,0,0,0,0,0
4,18,1,1,3,AoI 2,0,0,0,0,0,0
4,18,1,1,3,AoI 3,0,0,0,0,0,0
4,18,1,1,3,AoI 1,0,0,0,0,0,0
4,18,1,1,3,AoI 1,0,0,0,0,0,0
4,18,1,1,3,AoI 1,0,0,0,0,0,0
4,18,1,1,3,AoI 2,0,0,0,0,0,0
4,18,1,1,3,AoI 3,0,0,0,0,0,0
4,18,1,1,3,AoI 1,0,0,0,0,0,0
4,18,1,1,3,AoI 1,0,0,0,0,0,0
4,18,1,1,3,AoI 2,0,0,0,0,0,0
4,18,1,1,3,AoI 3,0,0,0,0,0,0
4,18,1,1,3,AoI 1,0,0,0,0,0,0
4,18,1,1,3,AoI 2,0,0,0,0,0,0
4,18,1,1,3,AoI 3,0,0,0,0,0,0
4,18,1,1,3,AoI 1,0,0,0,0,0,0
4,18,1,1,3,AoI 2,0,0,0,0,0,0
4,18,1,1,3,AoI 3,0,0,0,0,0,0
4,18,1,1,3,AoI 1,0,0,0,0,0,0
4,18,4,1,3,AoI 1,0,0,0,0,0,0
4,18,4,1,3,AoI 1,0,0,0,0,0,0
4,18,4,1,3,AoI 2,0,0,0,0,0,0
4,18,4,1,3,AoI 3,0,0,0,0,0,0
4,18,4,1,3,AoI 1,0,0,0,0,0,0
4,18,4,1,3,AoI 1,0,0,0,0,0,0
4,18,4,1,3,AoI 1,0,0,0,0,0,0
4,18,4,1,3,AoI 2,0,0,0,0,0,0
4,18,4,1,3,AoI 3,0,0,0,0,0,0
4,18,4,1,3,AoI 1,0,0,0,0,0,0
4,18,4,1,3,AoI 1,0,0,0,0,0,0
4,18,4,1,3,AoI 2,0,0,0,0,0,0
4,18,4,1,3,AoI 3,0,0,0,0,0,0
4,18,4,1,3,AoI 1,0,0,0,0,0,0
4,18,4,1,3,AoI 2,0,0,0,0,0,0
4,18,4,1,3,AoI 3,0,0,0,0,0,0
4,18,4,1,3,AoI 1,0,0,0,0,0,0
4,18,4,1,3,AoI 2,0,0,0,0,0,0
4,18,4,1,3,AoI 3,0,0,0,0,0,0
4,18,4,1,3,AoI 1,0,0,0,0,0,0
4,18,4,1,3,AoI 1,0,0,0,0,0,0
4,18,4,1,3,AoI 2,0,0,0,0,0,0
4,18,2,1,3,AoI 1,0,0,0,0,0,0
4,18,2,1,3,AoI 1,0,0,0,0,0,0
4,18,2,1,3,AoI 2,0,0,0,0,0,0
4,18,2,1,3,AoI 3,0,0,0,0,0,0
4,18,2,1,3,AoI 1,0,0,0,0,0,0
4,18,2,1,3,AoI 1,0,0,0,0,0,0
4,18,2,1,3,AoI 1,0,0,0,0,0,0
4,18,2,1,3,AoI 2,0,0,0,0,0,0
4,18,2,1,3,AoI 3,0,0,0,0,0,0
4,18,2,1,3,AoI 1,0,0,0,0,0,0
4,18,2,1,3,AoI 1,0,0,0,0,0,0
4,18,2,1,3,AoI 2,0,0,0,0,0,0
4,18,2,1,3,AoI 3,0,0,0,0,0,0
4,18,2,1,3,AoI 1,0,0,0,0,0,0
4,18,2,1,3,AoI 2,0,0,0,0,0,0
4,18,2,1,3,AoI 3,0,0,0,0,0,0
4,18,2,1,3,AoI 1,0,0,0,0,0,0
4,18,2,1,3,AoI 2,0,0,0,0,0,0
4,18,2,1,3,AoI 3,0,0,0,0,0,0
4,18,2,1,3,AoI 1,0,0,0,0,0,0
4,18,2,1,3,AoI 1,0,0,0,0,0,0
4,18,2,1,3,AoI 2,0,0,0,0,0,0
4,18,2,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 2,0,0,0,0,0,0
4,18,5,1,3,AoI 3,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 2,0,0,0,0,0,0
4,18,5,1,3,AoI 3,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 2,0,0,0,0,0,0
4,18,5,1,3,AoI 3,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 2,0,0,0,0,0,0
4,18,5,1,3,AoI 3,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 2,0,0,0,0,0,0
4,18,5,1,3,AoI 3,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 2,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 1,0,0,0,0,0,0
4,18,5,1,3,AoI 2,0,0,0,0,0,0
4,18,5,1,3,AoI 3,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 2,0,0,0,0,0,0
4,18,3,1,3,AoI 3,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 2,0,0,0,0,0,0
4,18,3,1,3,AoI 3,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 2,0,0,0,0,0,0
4,18,3,1,3,AoI 3,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 2,0,0,0,0,0,0
4,18,3,1,3,AoI 3,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 2,0,0,0,0,0,0
4,18,3,1,3,AoI 3,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 2,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 2,0,0,0,0,0,0
4,18,3,1,3,AoI 3,0,0,0,0,0,0
4,18,3,1,3,AoI 1,0,0,0,0,0,0
4,18,3,1,3,AoI 2,0,0,0,0,0,0
4,18,3,1,3,AoI 3,0,0,0,0,0,0
